     0.00     0.00      0.00   180.09      0.00
    -0.71     0.00      0.71   180.09      0.71
    -1.43     0.00      1.43   180.09      1.43
    -2.14     0.00      2.14   180.09      2.14
    -2.86     0.00      2.86   180.09      2.86
    -3.57     0.00      3.57   180.09      3.57
    -4.29     0.00      4.29   180.09      4.29
    -5.00     0.00      5.00   180.09      5.00
    -5.71     0.00      5.71   180.09      5.71
    -6.43     0.00      6.43   180.09      6.43
    -7.14     0.00      7.14   180.09      7.14
    -7.86     0.00      7.86   180.09      7.86
    -8.57     0.00      8.57   180.09      8.57
    -9.29     0.00      9.29   180.09      9.29
   -10.00     0.00     10.00   180.09     10.00
 
     0.00     0.00      0.00  -175.59      0.00
    -0.71    -0.06      0.71  -175.59      0.71
    -1.42    -0.11      1.43  -175.59      1.43
    -2.14    -0.17      2.14  -175.59      2.14
    -2.85    -0.22      2.86  -175.59      2.86
    -3.56    -0.28      3.57  -175.59      3.57
    -4.27    -0.34      4.29  -175.59      4.29
    -4.98    -0.39      5.00  -175.59      5.00
    -5.70    -0.45      5.71  -175.59      5.71
    -6.41    -0.50      6.43  -175.59      6.43
    -7.12    -0.56      7.14  -175.59      7.14
    -7.83    -0.62      7.86  -175.59      7.86
    -8.55    -0.67      8.57  -175.59      8.57
    -9.26    -0.73      9.29  -175.59      9.29
    -9.97    -0.78     10.00  -175.59     10.00

     0.00     0.00      0.00  -171.09      0.00
    -0.71    -0.11      0.71  -171.09      0.71
    -1.41    -0.22      1.43  -171.09      1.43
    -2.12    -0.34      2.14  -171.09      2.14
    -2.82    -0.45      2.86  -171.09      2.86
    -3.53    -0.56      3.57  -171.09      3.57
    -4.23    -0.67      4.29  -171.09      4.29
    -4.94    -0.78      5.00  -171.09      5.00
    -5.64    -0.89      5.71  -171.09      5.71
    -6.35    -1.01      6.43  -171.09      6.43
    -7.05    -1.12      7.14  -171.09      7.14
    -7.76    -1.23      7.86  -171.09      7.86
    -8.47    -1.34      8.57  -171.09      8.57
    -9.17    -1.45      9.29  -171.09      9.29
    -9.88    -1.56     10.00  -171.09     10.00

     0.00     0.00      0.00  -166.58      0.00
    -0.69    -0.17      0.71  -166.58      0.71
    -1.39    -0.33      1.43  -166.58      1.43
    -2.08    -0.50      2.14  -166.58      2.14
    -2.78    -0.67      2.86  -166.58      2.86
    -3.47    -0.83      3.57  -166.58      3.57
    -4.17    -1.00      4.29  -166.58      4.29
    -4.86    -1.17      5.00  -166.58      5.00
    -5.56    -1.33      5.71  -166.58      5.71
    -6.25    -1.50      6.43  -166.58      6.43
    -6.95    -1.67      7.14  -166.58      7.14
    -7.64    -1.83      7.86  -166.58      7.86
    -8.33    -2.00      8.57  -166.58      8.57
    -9.03    -2.17      9.29  -166.58      9.29
    -9.72    -2.33     10.00  -166.58     10.00

     0.00     0.00      0.00  -162.08      0.00
    -0.68    -0.22      0.71  -162.08      0.71
    -1.36    -0.44      1.43  -162.08      1.43
    -2.04    -0.66      2.14  -162.08      2.14
    -2.72    -0.88      2.86  -162.08      2.86
    -3.40    -1.10      3.57  -162.08      3.57
    -4.08    -1.32      4.29  -162.08      4.29
    -4.76    -1.55      5.00  -162.08      5.00
    -5.43    -1.77      5.71  -162.08      5.71
    -6.11    -1.99      6.43  -162.08      6.43
    -6.79    -2.21      7.14  -162.08      7.14
    -7.47    -2.43      7.86  -162.08      7.86
    -8.15    -2.65      8.57  -162.08      8.57
    -8.83    -2.87      9.29  -162.08      9.29
    -9.51    -3.09     10.00  -162.08     10.00

     0.00     0.00      0.00  -157.58      0.00
    -0.66    -0.27      0.71  -157.58      0.71
    -1.32    -0.55      1.43  -157.58      1.43
    -1.98    -0.82      2.14  -157.58      2.14
    -2.64    -1.09      2.86  -157.58      2.86
    -3.30    -1.37      3.57  -157.58      3.57
    -3.96    -1.64      4.29  -157.58      4.29
    -4.62    -1.91      5.00  -157.58      5.00
    -5.28    -2.19      5.71  -157.58      5.71
    -5.94    -2.46      6.43  -157.58      6.43
    -6.60    -2.73      7.14  -157.58      7.14
    -7.26    -3.01      7.86  -157.58      7.86
    -7.92    -3.28      8.57  -157.58      8.57
    -8.58    -3.55      9.29  -157.58      9.29
    -9.24    -3.83     10.00  -157.58     10.00

     0.00     0.00      0.00  -153.08      0.00
    -0.64    -0.32      0.71  -153.08      0.71
