     0.00     0.00      0.00     6.83      0.00
     0.31     0.04      0.32     6.83      0.32
     0.63     0.08      0.63     6.81      0.64
     0.94     0.11      0.95     6.77      0.96
     1.26     0.15      1.27     6.68      1.28
     1.57     0.18      1.58     6.41      1.63
     1.89     0.19      1.90     5.62      2.03
     2.20     0.15      2.21     3.85      2.44
     2.51     0.07      2.51     1.57      2.83
     2.81    -0.03      2.81    -0.53      3.17
     3.11    -0.13      3.12    -2.31      3.50
     3.41    -0.23      3.42    -3.79      3.82
     3.72    -0.33      3.73    -5.03      4.13
     4.02    -0.43      4.04    -6.08      4.45
     4.32    -0.53      4.35    -6.98      4.77
     4.62    -0.63      4.66    -7.77      5.08
     4.92    -0.73      4.97    -8.45      5.40
     5.22    -0.83      5.28    -9.05      5.72
     5.52    -0.93      5.59    -9.58      6.04
     5.82    -1.03      5.91   -10.05      6.35
     6.12    -1.13      6.22   -10.48      6.67
     6.42    -1.23      6.54   -10.86      6.99
     6.72    -1.33      6.85   -11.21      7.30
     7.02    -1.43      7.16   -11.52      7.62
     7.32    -1.53      7.48   -11.81      7.94
     7.62    -1.63      7.79   -12.07      8.25
     7.92    -1.73      8.11   -12.31      8.57
     8.22    -1.83      8.42   -12.53      8.89
     8.52    -1.93      8.74   -12.74      9.20
     8.82    -2.03      9.05   -12.93      9.52
     9.12    -2.12      9.37   -13.11      9.84
     9.43    -2.22      9.68   -13.28     10.15
     9.73    -2.32     10.00   -13.43     10.47

     0.00     0.00      0.00     6.13      0.00
     0.31     0.03      0.32     6.13      0.32
     0.63     0.07      0.63     6.11      0.63
     0.94     0.10      0.95     6.08      0.95
     1.26     0.13      1.26     5.99      1.28
     1.57     0.16      1.58     5.75      1.63
     1.89     0.17      1.90     5.03      2.03
     2.20     0.13      2.21     3.39      2.44
     2.51     0.06      2.51     1.28      2.83
     2.81    -0.03      2.81    -0.66      3.17
     3.12    -0.12      3.12    -2.30      3.50
     3.42    -0.22      3.42    -3.66      3.82
     3.72    -0.31      3.73    -4.80      4.13
     4.02    -0.41      4.04    -5.76      4.45
     4.32    -0.50      4.35    -6.59      4.77
     4.62    -0.59      4.66    -7.31      5.08
     4.93    -0.69      4.97    -7.94      5.40
     5.23    -0.78      5.29    -8.49      5.71
     5.53    -0.87      5.60    -8.98      6.03
     5.83    -0.97      5.91    -9.41      6.35
     6.13    -1.06      6.23    -9.80      6.66
     6.44    -1.15      6.54   -10.15      6.98
     6.74    -1.24      6.85   -10.47      7.29
     7.04    -1.34      7.17   -10.76      7.61
     7.34    -1.43      7.48   -11.03      7.93
     7.65    -1.52      7.80   -11.27      8.24
     7.95    -1.62      8.11   -11.49      8.56
     8.25    -1.71      8.43   -11.70      8.88
     8.55    -1.80      8.74   -11.89      9.19
     8.86    -1.89      9.05   -12.07      9.51
     9.16    -1.98      9.37   -12.23      9.82
     9.46    -2.08      9.68   -12.39     10.14
     9.76    -2.17     10.00   -12.53     10.46

     0.00     0.00      0.00     5.56      0.00
     0.31     0.03      0.32     5.56      0.32
     0.63     0.06      0.63     5.55      0.63
     0.94     0.09      0.95     5.52      0.95
     1.26     0.12      1.26     5.44      1.28
     1.57     0.14      1.58     5.21      1.63
     1.89     0.15      1.89     4.55      2.02
     2.20     0.12      2.20     3.03      2.44
     2.51     0.05      2.51     1.07      2.83
     2.81    -0.04      2.81    -0.73      3.17
     3.12    -0.12      3.12    -2.24      3.50
     3.42    -0.21      3.43    -3.49      3.82
     3.72    -0.30      3.73    -4.55      4.13
     4.03    -0.38      4.04    -5.44      4.45
     4.33    -0.47      4.35    -6.20      4.76
     4.63    -0.56      4.67    -6.86      5.08
     4.94    -0.64      4.98    -7.44      5.39
     5.24    -0.73      5.29    -7.94      5.71
     5.54    -0.82      5.60    -8.39      6.03
     5.85    -0.90      5.92    -8.79      6.34
     6.15    -0.99      6.23    -9.15      6.66
     6.45    -1.08      6.54    -9.47      6.97
     6.76    -1.16      6.86    -9.76      7.29
     7.06    -1.25      7.17   -10.02      7.60
     7.36    -1.33      7.48   -10.26      7.92
     7.67    -1.42      7.80   -10.49      8.23
     7.97    -1.50      8.11   -10.69      8.55
     8.28    -1.59      8.43   -10.88      8.87
     8.58    -1.67      8.74   -11.05      9.18
     8.88    -1.76      9.06   -11.21      9.50
     9.19    -1.84      9.37   -11.36      9.81
     9.49    -1.93      9.69   -11.50     10.13
     9.79    -2.01     10.00   -11.63     10.44

     0.00     0.00      0.00     5.03      0.00
     0.31     0.03      0.32     5.03      0.32
     0.63     0.06      0.63     5.02      0.63
     0.94     0.08      0.95     4.99      0.95
     1.26     0.11      1.26     4.92      1.28
     1.57     0.13      1.58     4.72      1.63
     1.88     0.14      1.89     4.11      2.02
     2.20     0.10      2.20     2.71      2.44
     2.51     0.04      2.51     0.90      2.83
     2.81    -0.04      2.81    -0.75      3.17
     3.12    -0.12      3.12    -2.14      3.50
     3.42    -0.20      3.43    -3.29      3.81
     3.73    -0.28      3.74    -4.25      4.13
     4.03    -0.36      4.05    -5.07      4.45
     4.34    -0.44      4.36    -5.77      4.76
     4.64    -0.52      4.67    -6.37      5.08
     4.95    -0.60      4.98    -6.90      5.39
     5.25    -0.68      5.29    -7.36      5.71
     5.55    -0.76      5.61    -7.77      6.02
     5.86    -0.84      5.92    -8.14      6.34
     6.16    -0.92      6.23    -8.46      6.65
     6.47    -1.00      6.55    -8.75      6.97
     6.77    -1.07      6.86    -9.02      7.28
     7.08    -1.15      7.17    -9.26      7.60
     7.38    -1.23      7.49    -9.48      7.91
     7.69    -1.31      7.80    -9.68      8.23
     7.99    -1.39      8.11    -9.87      8.54
     8.30    -1.47      8.43   -10.04      8.86
     8.60    -1.55      8.74   -10.20      9.17
     8.91    -1.63      9.06   -10.34      9.49
     9.22    -1.70      9.37   -10.48      9.80
     9.52    -1.78      9.69   -10.61     10.12
     9.83    -1.86     10.00   -10.73     10.43

     0.00     0.00      0.00     4.51      0.00
     0.31     0.02      0.31     4.51      0.32
     0.63     0.05      0.63     4.50      0.63
     0.94     0.07      0.94     4.47      0.95
     1.25     0.10      1.26     4.41      1.28
     1.57     0.12      1.57     4.23      1.63
     1.88     0.12      1.89     3.68      2.02
     2.20     0.09      2.20     2.40      2.44
     2.51     0.03      2.51     0.76      2.83
     2.81    -0.04      2.81    -0.74      3.17
     3.12    -0.11      3.12    -2.00      3.50
     3.42    -0.18      3.43    -3.05      3.81
     3.73    -0.26      3.74    -3.92      4.13
     4.04    -0.33      4.05    -4.66      4.44
     4.34    -0.40      4.36    -5.30      4.76
     4.65    -0.48      4.67    -5.84      5.07
     4.95    -0.55      4.98    -6.32      5.39
     5.26    -0.62      5.30    -6.74      5.70
     5.57    -0.69      5.61    -7.11      6.02
     5.87    -0.77      5.92    -7.44      6.33
     6.18    -0.84      6.24    -7.74      6.65
     6.49    -0.91      6.55    -8.01      6.96
     6.79    -0.98      6.86    -8.25      7.28
     7.10    -1.06      7.18    -8.47      7.59
     7.40    -1.13      7.49    -8.68      7.91
     7.71    -1.20      7.80    -8.86      8.22
     8.02    -1.27      8.12    -9.03      8.53
     8.32    -1.35      8.43    -9.19      8.85
     8.63    -1.42      8.74    -9.34      9.16
     8.93    -1.49      9.06    -9.47      9.48
     9.24    -1.56      9.37    -9.60      9.79
     9.55    -1.63      9.69    -9.72     10.11
     9.85    -1.71     10.00    -9.83     10.42

     0.00    -0.00      0.00     4.06      0.00
     0.31     0.02      0.31     4.06      0.31
     0.63     0.04      0.63     4.05      0.63
     0.94     0.07      0.94     4.03      0.95
     1.25     0.09      1.26     3.98      1.27
     1.57     0.10      1.57     3.81      1.62
     1.88     0.11      1.89     3.32      2.02
     2.20     0.08      2.20     2.15      2.44
     2.50     0.03      2.50     0.65      2.83
     2.81    -0.04      2.81    -0.72      3.17
     3.12    -0.10      3.12    -1.86      3.49
     3.43    -0.17      3.43    -2.81      3.81
